Subject,Session,index,Trial,SOA,Answer
1,1,827,1,300,0
1,1,1672,2,600,0
1,1,2496,3,-150,1
1,1,3331,4,-500,1
1,1,4154,5,-150,1
1,1,4973,6,-250,1
1,1,5797,7,-1000,0
1,1,6615,8,100,0
1,1,7432,9,-1000,0
1,1,8249,10,100,1
1,1,9080,11,300,1
1,1,9899,12,-700,0
1,1,10759,13,600,0
1,1,11577,14,-350,1
1,1,12412,15,-350,1
1,1,13242,16,-700,1
1,1,14061,17,-500,1
1,1,14884,18,-500,0
1,1,15700,19,-200,0
1,1,16523,20,-200,1
1,1,17348,21,-50,1
1,1,18166,22,-250,1
1,1,18981,23,100,0
1,1,19800,24,-200,0
1,1,20619,25,-1000,0
1,1,21451,26,-350,1
1,1,22294,27,-1000,0
1,1,23116,28,-700,1
1,1,23937,29,-50,1
1,1,24790,30,600,0
1,1,25607,31,-150,1
1,1,26423,32,100,1
1,1,27258,33,300,0
1,1,28087,34,300,1
1,1,28935,35,600,0
1,1,29760,36,-50,1
1,1,30574,37,-200,1
1,1,31390,38,-350,0
1,1,32207,39,-50,1
1,1,33042,40,-150,1
1,1,33856,41,-700,0
1,1,34666,42,-500,0
1,1,35481,43,-250,1
1,1,36291,44,-250,1
1,2,834,1,-200,1
1,2,1651,2,300,0
1,2,2453,3,-50,1
1,2,3256,4,100,1
1,2,4057,5,-150,0
1,2,4891,6,600,0
1,2,5692,7,-50,0
1,2,6495,8,-1000,0
1,2,7331,9,600,0
1,2,8134,10,-200,1
1,2,8938,11,-250,1
1,2,9744,12,-200,1
1,2,10559,13,300,0
1,2,11362,14,-700,0
1,2,12166,15,-150,0
1,2,12971,16,-700,0
1,2,13771,17,-500,0
1,2,14573,18,100,0
1,2,15413,19,600,0
1,2,16219,20,-50,1
1,2,17030,21,-700,1
1,2,17841,22,-350,1
1,2,18644,23,-1000,0
1,2,19450,24,100,0
1,2,20253,25,-500,0
1,2,21047,26,-500,0
1,2,21853,27,-250,1
1,2,22656,28,-150,0
1,2,23462,29,-500,0
1,2,24265,30,-350,0
1,2,25077,31,-1000,0
1,2,25882,32,-1000,0
1,2,26686,33,-50,1
1,2,27488,34,100,0
1,2,28302,35,300,0
1,2,29105,36,-200,0
1,2,29905,37,-700,0
1,2,30707,38,-350,0
1,2,31510,39,-250,1
1,2,32313,40,-250,1
1,2,33114,41,-350,0
1,2,33946,42,300,0
1,2,34761,43,-150,1
1,2,35604,44,600,0
1,3,835,1,600,0
1,3,1653,2,300,1
1,3,2455,3,-500,1
1,3,3255,4,-150,1
1,3,4055,5,-1000,0
1,3,4854,6,-350,1
1,3,5672,7,300,0
1,3,6487,8,300,0
1,3,7295,9,-700,0
1,3,8127,10,600,0
1,3,8936,11,-700,1
1,3,9737,12,-1000,0
1,3,10537,13,100,0
1,3,11337,14,100,1
1,3,12136,15,-1000,0
1,3,12937,16,-200,1
1,3,13788,17,600,0
1,3,14594,18,-250,1
1,3,15403,19,-250,1
1,3,16202,20,-500,1
1,3,17001,21,-500,0
1,3,17799,22,-250,1
1,3,18602,23,-500,1
1,3,19412,24,-50,0
1,3,20212,25,-350,1
1,3,21008,26,-350,1
1,3,21807,27,100,0
1,3,22618,28,300,0
1,3,23423,29,-150,1
1,3,24225,30,-350,1
1,3,25028,31,-200,1
1,3,25829,32,-50,1
1,3,26626,33,-700,0
1,3,27430,34,-200,1
1,3,28227,35,-50,1
1,3,29026,36,100,0
1,3,29831,37,-150,1
1,3,30629,38,-200,1
1,3,31433,39,-700,0
1,3,32237,40,-150,1
1,3,33035,41,-50,1
1,3,33841,42,-250,1
1,3,34642,43,-1000,0
1,3,35474,44,600,0
1,4,810,1,100,1
1,4,1620,2,-350,1
1,4,2421,3,-700,0
1,4,3256,4,600,0
1,4,4061,5,-50,0
1,4,4869,6,-350,0
1,4,5675,7,-1000,0
1,4,6481,8,-150,0
1,4,7302,9,-200,0
1,4,8113,10,-50,1
1,4,8948,11,600,0
1,4,9749,12,-1000,0
1,4,10561,13,300,0
1,4,11367,14,-500,1
1,4,12172,15,-500,0
1,4,12985,16,300,0
1,4,13789,17,-250,0
1,4,14605,18,300,0
1,4,15407,19,-200,0
1,4,16220,20,-700,0
1,4,17022,21,-150,1
1,4,17825,22,-500,1
1,4,18628,23,-250,0
1,4,19440,24,-700,0
1,4,20245,25,-250,1
1,4,21048,26,-500,0
1,4,21850,27,100,0
1,4,22683,28,600,0
1,4,23512,29,-350,0
1,4,24313,30,-200,1
1,4,25147,31,-1000,0
1,4,25981,32,600,0
1,4,26784,33,-700,1
1,4,27590,34,-150,1
1,4,28399,35,-50,1
1,4,29204,36,-150,0
1,4,30013,37,-50,0
1,4,30826,38,100,0
1,4,31626,39,-1000,0
1,4,32429,40,-250,1
1,4,33224,41,-350,1
1,4,34039,42,300,0
1,4,34839,43,100,0
1,4,35642,44,-200,0
1,5,837,1,600,0
1,5,1669,2,600,0
1,5,2467,3,-500,1
1,5,3265,4,-250,1
1,5,4073,5,-700,0
1,5,4872,6,-700,0
1,5,5665,7,-200,1
1,5,6466,8,-200,0
1,5,7297,9,-250,1
1,5,8097,10,-150,0
1,5,8896,11,-150,1
1,5,9694,12,100,0
1,5,10492,13,-350,1
1,5,11320,14,600,0
1,5,12131,15,300,0
1,5,12942,16,100,0
1,5,13750,17,-1000,0
1,5,14547,18,-700,0
1,5,15345,19,-50,1
1,5,16157,20,300,0
1,5,16957,21,-1000,0
1,5,17759,22,-150,1
1,5,18590,23,600,0
1,5,19386,24,-1000,0
1,5,20200,25,300,0
1,5,20999,26,-500,1
1,5,21803,27,100,1
1,5,22600,28,-50,1
1,5,23418,29,-350,1
1,5,24227,30,300,0
1,5,25028,31,-500,1
1,5,25827,32,-50,1
1,5,26618,33,-200,1
1,5,27426,34,-1000,0
1,5,28216,35,-50,1
1,5,29051,36,-250,1
1,5,29855,37,-500,1
1,5,30654,38,-150,0
1,5,31455,39,-200,1
1,5,32249,40,-250,1
1,5,33047,41,100,0
1,5,33855,42,-700,1
1,5,34660,43,-350,1
1,5,35462,44,-350,1
3,1,845,1,600,0
