Subject,Session,index,Trial,SOA,Answer
6,1,819,1,-150,1
6,1,1735,2,-500,0
6,1,2565,3,-50,0
6,1,3442,4,-350,1
6,1,4241,5,-50,0
6,1,5095,6,-700,0
6,1,5904,7,-250,0
6,1,6745,8,600,0
6,1,7550,9,-500,0
6,1,8400,10,-700,1
6,1,9206,11,300,0
6,1,10017,12,300,0
6,1,10875,13,-700,0
6,1,11721,14,-1000,0
6,1,12541,15,300,0
6,1,13353,16,-50,0
6,1,14199,17,-500,1
6,1,15014,18,-350,1
6,1,15822,19,-150,1
6,1,16665,20,-250,1
6,1,17622,21,100,0
6,1,18513,22,-50,0
6,1,19318,23,-700,1
6,1,20162,24,-250,0
6,1,20956,25,100,0
6,1,21852,26,-350,0
6,1,22657,27,-200,1
6,1,23485,28,600,0
6,1,24291,29,300,0
6,1,25129,30,-1000,1
6,1,25956,31,-350,1
6,1,26758,32,-200,1
6,1,27558,33,100,1
6,1,28428,34,-500,0
6,1,29219,35,-150,1
6,1,30045,36,600,0
6,1,30956,37,100,0
6,1,31748,38,-150,1
6,1,32615,39,600,1
6,1,33408,40,-200,1
6,1,34280,41,-1000,0
6,1,35074,42,-200,1
6,1,35868,43,-1000,1
6,1,36682,44,-250,1
6,2,820,1,100,0
6,2,1646,2,-150,0
6,2,2447,3,-50,1
6,2,3264,4,-500,1
6,2,4115,5,600,0
6,2,4929,6,300,1
6,2,5727,7,-350,1
6,2,6530,8,-350,1
6,2,7337,9,-150,1
6,2,8138,10,-1000,1
6,2,8955,11,-150,1
6,2,9766,12,-500,1
6,2,10578,13,300,1
6,2,11413,14,-200,1
6,2,12225,15,-250,1
6,2,13059,16,600,0
6,2,13958,17,100,0
6,2,14835,18,600,0
6,2,15644,19,-500,1
6,2,16483,20,-700,1
6,2,17293,21,-50,0
6,2,18115,22,100,0
6,2,18963,23,-1000,1
6,2,19802,24,-350,1
6,2,20627,25,-200,0
6,2,21448,26,-700,1
6,2,22270,27,-150,1
6,2,23085,28,-500,1
6,2,23908,29,-250,1
6,2,24726,30,-50,1
6,2,25566,31,300,0
6,2,26398,32,-700,0
6,2,27256,33,-700,1
6,2,28210,34,-350,0
6,2,29050,35,300,0
6,2,29878,36,-200,1
6,2,30765,37,100,0
6,2,31664,38,-250,0
6,2,32546,39,-200,1
6,2,33402,40,-1000,0
6,2,34318,41,600,0
6,2,35169,42,-50,0
6,2,36013,43,-1000,1
6,2,36832,44,-250,1
6,3,792,1,-700,0
6,3,1587,2,100,0
6,3,2376,3,-500,1
6,3,3170,4,300,0
6,3,3959,5,-1000,0
6,3,4741,6,-250,1
6,3,5530,7,300,0
6,3,6334,8,100,1
6,3,7160,9,600,0
6,3,7940,10,-500,0
6,3,8722,11,-150,1
6,3,9510,12,-200,1
6,3,10292,13,-350,1
6,3,11071,14,100,0
6,3,11864,15,-700,0
6,3,12644,16,-50,1
6,3,13428,17,-200,0
6,3,14238,18,600,0
6,3,15020,19,-1000,0
6,3,15797,20,-50,0
6,3,16574,21,-50,1
6,3,17371,22,300,0
6,3,18148,23,-700,0
6,3,18928,24,-200,1
6,3,19716,25,-250,1
6,3,20503,26,-700,0
6,3,21326,27,-150,1
6,3,22114,28,-1000,0
6,3,22897,29,-250,1
6,3,23685,30,-50,1
6,3,24464,31,-250,0
6,3,25246,32,-350,1
6,3,26059,33,300,0
6,3,26883,34,-150,0
6,3,27682,35,-500,0
6,3,28479,36,-150,1
6,3,29289,37,600,0
6,3,30100,38,600,0
6,3,30923,39,-1000,0
6,3,31703,40,-200,1
6,3,32486,41,-500,0
6,3,33294,42,-350,1
6,3,34078,43,-350,1
6,3,34857,44,100,0
6,4,824,1,-150,1
6,4,1627,2,-700,0
6,4,2460,3,600,0
6,4,3276,4,100,1
6,4,4130,5,600,0
6,4,4965,6,-500,1
