Subject,Session,index,Trial,SOA,Answer
1,1,803,1,-700,0
1,1,1617,2,-700,0
1,1,2419,3,-200,1
1,1,3225,4,-1000,0
1,1,4028,5,-350,1
1,1,4835,6,100,0
1,1,5642,7,-250,1
1,1,6446,8,-700,0
1,1,7264,9,300,0
1,1,8086,10,300,0
1,1,8889,11,100,1
1,1,9697,12,-150,1
1,1,10524,13,-500,0
1,1,11330,14,-200,1
1,1,12132,15,-150,1
1,1,12936,16,-250,0
1,1,13737,17,-1000,0
1,1,14552,18,-500,0
1,1,15359,19,-1000,0
1,1,16172,20,300,0
1,1,16975,21,-350,1
1,1,17779,22,-700,0
1,1,18613,23,600,0
1,1,19454,24,-50,0
1,1,20273,25,-1000,1
1,1,21088,26,300,0
1,1,21890,27,-200,1
1,1,22693,28,-150,0
1,1,23514,29,-350,0
1,1,24349,30,600,0
1,1,25152,31,100,1
1,1,25957,32,-350,1
1,1,26774,33,100,0
1,1,27576,34,-50,0
1,1,28383,35,-250,0
1,1,29222,36,600,0
1,1,30028,37,-500,0
1,1,30829,38,-50,0
1,1,31663,39,600,0
1,1,32465,40,-50,0
1,1,33298,41,-200,0
1,1,34102,42,-500,1
1,1,34968,43,-250,1
1,1,35782,44,-150,0
1,2,834,1,-200,1
1,2,1651,2,300,0
1,2,2453,3,-50,1
1,2,3256,4,100,1
1,2,4057,5,-150,0
1,2,4891,6,600,0
1,2,5692,7,-50,0
1,2,6495,8,-1000,0
1,2,7331,9,600,0
1,2,8134,10,-200,1
1,2,8938,11,-250,1
1,2,9744,12,-200,1
1,2,10559,13,300,0
1,2,11362,14,-700,0
1,2,12166,15,-150,0
1,2,12971,16,-700,0
1,2,13771,17,-500,0
1,2,14573,18,100,0
1,2,15413,19,600,0
1,2,16219,20,-50,1
1,2,17030,21,-700,1
1,2,17841,22,-350,1
1,2,18644,23,-1000,0
1,2,19450,24,100,0
1,2,20253,25,-500,0
1,2,21047,26,-500,0
1,2,21853,27,-250,1
1,2,22656,28,-150,0
1,2,23462,29,-500,0
1,2,24265,30,-350,0
1,2,25077,31,-1000,0
1,2,25882,32,-1000,0
1,2,26686,33,-50,1
1,2,27488,34,100,0
1,2,28302,35,300,0
1,2,29105,36,-200,0
1,2,29905,37,-700,0
1,2,30707,38,-350,0
1,2,31510,39,-250,1
1,2,32313,40,-250,1
1,2,33114,41,-350,0
1,2,33946,42,300,0
1,2,34761,43,-150,1
1,2,35604,44,600,0
1,3,812,1,-150,1
1,3,1632,2,-200,1
1,3,2467,3,-1000,0
1,3,3287,4,-500,1
1,3,4149,5,300,0
1,3,5003,6,600,1
1,3,5848,7,-700,0
1,3,6663,8,-500,0
1,3,7486,9,-150,1
1,3,8321,10,-200,1
1,3,9155,11,300,1
1,3,9977,12,-250,1
1,3,10795,13,-700,0
1,3,11609,14,-50,1
1,3,12443,15,-50,1
1,3,13278,16,-150,1
1,3,14111,17,-50,1
1,3,14929,18,-700,0
1,3,15744,19,100,1
1,3,16559,20,-1000,0
1,3,17390,21,-200,1
1,3,18214,22,-500,0
1,3,19029,23,-150,1
1,3,19875,24,600,1
1,3,20689,25,-250,1
1,3,21558,26,300,0
1,3,22370,27,-350,1
1,3,23193,28,-350,1
1,3,24005,29,-200,1
1,3,24855,30,600,0
1,3,25688,31,-500,1
1,3,26513,32,-350,1
1,3,27364,33,600,1
1,3,28181,34,-350,0
1,3,28995,35,-700,0
1,3,29808,36,-250,1
1,3,30632,37,-250,1
1,3,31445,38,100,1
1,3,32286,39,-1000,1
1,3,33118,40,300,0
1,3,33947,41,100,1
1,3,34760,42,-50,1
1,3,35586,43,100,1
1,3,36406,44,-1000,0
1,4,817,1,300,0
1,4,1651,2,600,0
1,4,2453,3,-250,1
1,4,3255,4,-200,1
1,4,4053,5,-200,1
1,4,4851,6,-250,0
1,4,5665,7,100,1
1,4,6464,8,-200,1
1,4,7282,9,-350,1
1,4,8081,10,-700,0
1,4,8885,11,-500,1
1,4,9684,12,-150,0
1,4,10513,13,600,0
1,4,11313,14,100,0
1,4,12122,15,-350,1
1,4,12932,16,-50,0
1,4,13758,17,300,0
1,4,14561,18,100,0
1,4,15402,19,600,0
1,4,16203,20,-350,1
1,4,17003,21,-1000,0
1,4,17812,22,300,0
1,4,18614,23,-250,1
1,4,19409,24,100,1
1,4,20207,25,-150,1
1,4,21011,26,-1000,0
1,4,21821,27,-500,1
1,4,22628,28,-500,1
1,4,23443,29,300,0
1,4,24241,30,-200,1
1,4,25045,31,-50,1
1,4,25838,32,-350,1
1,4,26637,33,-50,1
1,4,27448,34,-1000,1
1,4,28250,35,-150,1
1,4,29080,36,600,0
1,4,29926,37,-700,1
1,4,30746,38,-150,1
1,4,31548,39,-700,0
1,4,32347,40,-1000,0
1,4,33150,41,-50,1
1,4,33950,42,-500,1
1,4,34766,43,-250,0
1,4,35563,44,-700,0
1,5,815,1,300,0
1,5,1616,2,-350,1
1,5,2421,3,-250,0
1,5,3257,4,600,0
1,5,4069,5,300,0
1,5,4871,6,-500,0
1,5,5666,7,100,0
1,5,6469,8,-200,1
1,5,7269,9,-350,1
1,5,8080,10,-50,0
1,5,8883,11,-150,0
1,5,9690,12,-1000,0
1,5,10527,13,600,0
1,5,11333,14,-500,1
1,5,12143,15,100,1
1,5,12945,16,-200,1
1,5,13751,17,-200,1
1,5,14573,18,-500,1
1,5,15368,19,100,0
1,5,16171,20,-700,0
1,5,16972,21,-1000,0
1,5,17786,22,-150,0
1,5,18592,23,-50,0
1,5,19394,24,100,0
1,5,20192,25,-700,0
1,5,21002,26,300,0
1,5,21806,27,-250,1
1,5,22609,28,-150,0
1,5,23453,29,600,0
1,5,24256,30,-1000,0
1,5,25059,31,-50,1
1,5,25860,32,-700,0
1,5,26661,33,-500,1
1,5,27461,34,-700,0
1,5,28300,35,600,0
1,5,29111,36,-350,1
1,5,29923,37,300,0
1,5,30725,38,-350,1
1,5,31528,39,-250,1
1,5,32329,40,-200,1
1,5,33130,41,-250,1
1,5,33931,42,-50,0
1,5,34728,43,-1000,0
1,5,35528,44,-150,0
