Subject,Session,index,Trial,SOA,Answer
9,1,865,1,1000,0
9,1,1670,2,-800,1
9,1,2493,3,500,0
9,1,3295,4,100,0
9,1,4099,5,-600,1
9,1,4902,6,-200,1
9,1,5702,7,-600,1
9,1,6503,8,-1100,1
9,1,7301,9,-1500,0
9,1,8102,10,-1500,0
9,1,8911,11,-200,1
9,1,9725,12,-500,1
9,1,10522,13,-400,0
9,1,11322,14,-200,0
9,1,12124,15,-500,1
9,1,12926,16,-600,1
9,1,13733,17,-600,1
9,1,14560,18,500,0
9,1,15373,19,-2000,0
9,1,16173,20,-400,0
9,1,17033,21,1000,0
9,1,17836,22,-800,1
9,1,18634,23,-1500,0
9,1,19433,24,-200,0
9,1,20234,25,100,0
9,1,21033,26,100,0
9,1,21834,27,-1500,0
9,1,22633,28,-1100,1
9,1,23433,29,-2000,0
9,1,24228,30,-800,1
9,1,25053,31,500,0
9,1,25850,32,-500,0
9,1,26645,33,-1100,1
9,1,27454,34,100,0
9,1,28279,35,500,0
9,1,29076,36,-2000,0
9,1,29875,37,-400,1
9,1,30674,38,-800,1
9,1,31471,39,-1100,1
9,1,32326,40,1000,0
9,1,33183,41,1000,0
9,1,33984,42,-400,1
9,1,34780,43,-500,1
9,1,35577,44,-2000,0
9,2,790,1,-1100,1
9,2,1586,2,-2000,0
9,2,2680,3,-600,1
9,2,3647,4,100,0
9,2,4444,5,-200,0
9,2,5242,6,-1100,0
9,2,6040,7,-1500,0
9,2,6881,8,500,0
9,2,7679,9,-2000,0
9,2,8528,10,1000,0
9,2,9325,11,-1500,0
9,2,10140,12,500,0
9,2,10989,13,1000,0
9,2,11787,14,-600,1
9,2,12578,15,-500,0
9,2,13369,16,-1100,1
9,2,14188,17,500,0
9,2,14980,18,-800,1
9,2,15833,19,1000,0
9,2,16632,20,100,0
9,2,17424,21,-500,1
9,2,18275,22,1000,0
9,2,19090,23,500,0
9,2,19884,24,-400,1
9,2,20675,25,-800,1
9,2,21468,26,-200,0
9,2,22262,27,-2000,0
9,2,23051,28,-800,1
9,2,23842,29,-1100,0
9,2,24635,30,-800,1
9,2,25426,31,-200,0
9,2,26217,32,-400,0
9,2,27013,33,-500,0
9,2,27805,34,-1500,0
9,2,28595,35,-400,0
9,2,29388,36,-600,1
9,2,30182,37,100,0
9,2,30974,38,-2000,0
9,2,31769,39,-400,0
9,2,32560,40,-600,1
9,2,33352,41,-200,0
9,2,34145,42,-500,0
9,2,34937,43,100,0
9,2,35731,44,-1500,0
9,3,790,1,-600,1
9,3,1582,2,100,0
9,3,2373,3,-800,1
9,3,3163,4,-1100,1
9,3,3981,5,500,0
9,3,4773,6,-1500,0
9,3,5563,7,-2000,0
9,3,6355,8,-800,1
9,3,7146,9,-800,1
9,3,7937,10,-1500,0
9,3,8757,11,500,0
9,3,9548,12,-600,0
9,3,10339,13,-400,1
9,3,11192,14,1000,0
9,3,11984,15,-400,1
9,3,12776,16,100,0
9,3,13569,17,-1500,0
9,3,14359,18,-2000,0
9,3,15149,19,-1100,1
9,3,15940,20,-800,0
9,3,16731,21,100,0
9,3,17521,22,-500,0
9,3,18313,23,-1100,1
9,3,19105,24,-200,0
9,3,19954,25,1000,0
9,3,20748,26,-600,1
9,3,21539,27,-400,0
9,3,22388,28,1000,0
9,3,23179,29,-500,0
9,3,23972,30,-200,0
9,3,24760,31,-1100,1
9,3,25552,32,-500,0
9,3,26345,33,-1500,0
9,3,27137,34,100,0
9,3,27954,35,500,0
9,3,28745,36,-500,1
9,3,29537,37,-200,0
9,3,30335,38,-400,0
9,3,31188,39,1000,0
9,3,31979,40,-2000,0
9,3,32778,41,-200,1
9,3,33597,42,500,0
9,3,34388,43,-2000,0
9,3,35178,44,-600,1
9,4,789,1,-800,0
9,4,1581,2,-400,0
9,4,2366,3,100,0
9,4,3160,4,-2000,0
9,4,3948,5,-800,1
9,4,4795,6,1000,0
9,4,5589,7,-400,0
9,4,6380,8,-600,0
9,4,7173,9,-500,0
9,4,7966,10,-200,0
9,4,8756,11,-200,0
9,4,9549,12,-1500,0
9,4,10341,13,-500,1
9,4,11133,14,100,0
9,4,11950,15,500,0
9,4,12743,16,-600,0
