Subject,Session,index,Trial,SOA,Answer
1,1,1663,2,-2000,0
1,1,5763,7,-2000,0
1,1,23232,28,-2000,1
1,1,35642,43,-2000,1
1,2,19080,23,-2000,1
1,2,19909,24,-2000,0
1,2,23192,28,-2000,1
1,2,28909,35,-2000,0
1,3,12932,16,-2000,0
1,3,16169,20,-2000,0
1,3,25182,31,-2000,1
1,3,33293,41,-2000,0
1,4,1626,2,-2000,0
1,4,3277,4,-2000,0
1,4,4881,6,-2000,0
1,4,35782,44,-2000,0
1,5,19106,23,-2000,0
1,5,25206,30,-2000,0
1,5,29357,35,-2000,0
1,5,30979,37,-2000,0
2,1,4912,6,-2000,0
2,1,8154,10,-2000,0
2,1,15889,18,-2000,0
2,1,24181,28,-2000,0
2,2,1642,2,-2000,0
2,2,14043,17,-2000,0
2,2,21462,26,-2000,0
2,2,24977,30,-2000,0
2,3,23990,29,-2000,0
2,3,25619,31,-2000,0
2,3,31354,38,-2000,0
2,3,35484,43,-2000,0
2,4,3336,4,-2000,0
2,4,5816,7,-2000,0
2,4,14942,18,-2000,0
2,4,20675,25,-2000,0
2,5,4194,5,-2000,0
2,5,14844,18,-2000,0
2,5,32132,39,-2000,0
2,5,35400,43,-2000,0
3,1,811,1,-2000,0
3,1,8186,10,-2000,0
3,1,34152,41,-2000,0
3,1,36634,44,-2000,0
3,2,4083,5,-2000,0
3,2,9076,11,-2000,0
3,2,19790,24,-2000,0
3,2,23809,29,-2000,0
3,3,7432,9,-2000,0
3,3,12348,15,-2000,0
3,3,24629,30,-2000,0
3,3,28661,35,-2000,0
3,4,4139,5,-2000,0
3,4,10642,13,-2000,0
3,4,28549,35,-2000,0
3,4,35786,44,-2000,0
3,5,10530,13,-2000,0
3,5,12148,15,-2000,0
3,5,13835,17,-2000,0
3,5,14636,18,-2000,0
4,1,7936,10,-2000,0
4,1,8728,11,-2000,0
4,1,10329,13,-2000,0
4,1,20790,26,-2000,0
4,2,3212,4,-2000,0
4,2,15203,19,-2000,0
4,2,20876,26,-2000,0
4,2,34515,43,-2000,0
4,3,6366,8,-2000,0
4,3,11980,15,-2000,0
4,3,18456,23,-2000,0
4,3,25699,32,-2000,0
4,4,4003,5,-2000,0
4,4,10368,13,-2000,0
4,4,22422,28,-2000,0
4,4,33735,42,-2000,0
4,5,9535,12,-2000,0
4,5,25765,32,-2000,0
4,5,29749,37,-2000,0
4,5,32134,40,-2000,0
5,1,6595,8,-2000,0
5,1,20739,25,-2000,0
5,1,25798,31,-2000,0
5,1,31746,38,-2000,0
5,2,22734,27,-2000,0
5,2,28551,34,-2000,0
5,2,32702,39,-2000,0
5,2,36849,44,-2000,0
5,3,5776,7,-2000,0
5,3,7438,9,-2000,0
5,3,19756,24,-2000,0
5,3,23005,28,-2000,0
5,4,4062,5,-2000,0
5,4,6535,8,-2000,0
5,4,15537,19,-2000,0
5,4,23762,29,-2000,0
5,5,17205,21,-2000,0
5,5,19702,24,-2000,0
5,5,27096,33,-2000,0
5,5,30340,37,-2000,0
6,1,24207,29,-2000,0
6,1,25011,30,-2000,0
6,1,29830,36,-2000,0
6,1,33083,40,-2000,0
6,2,24344,30,-2000,0
6,2,25147,31,-2000,0
6,2,28407,35,-2000,0
6,2,29221,36,-2000,0
6,3,19291,24,-2000,0
6,3,25834,32,-2000,0
6,3,28225,35,-2000,0
6,3,33875,42,-2000,0
6,4,8103,10,-2000,0
6,4,9704,12,-2000,0
6,4,12927,16,-2000,0
6,4,17788,22,-2000,0
6,5,9738,12,-2000,0
6,5,14565,18,-2000,0
6,5,29212,36,-2000,0
6,5,31616,39,-2000,0
7,1,24444,30,-2000,0
7,1,25242,31,-2000,0
7,1,26831,33,-2000,0
7,1,27658,34,-2000,0
7,2,4811,6,-2000,0
7,2,16194,20,-2000,0
7,2,27523,34,-2000,0
7,2,28325,35,-2000,1
7,3,10475,13,-2000,0
7,3,11269,14,-2000,0
7,3,31529,39,-2000,0
7,3,33970,42,-2000,0
7,4,3238,4,-2000,0
7,4,12153,15,-2000,0
7,4,12956,16,-2000,0
7,4,22675,28,-2000,1
7,5,1608,2,-2000,1
7,5,6477,8,-2000,0
7,5,11321,14,-2000,0
7,5,30805,38,-2000,0
8,1,10292,13,-2000,0
8,1,11080,14,-2000,0
8,1,16723,21,-2000,0
8,1,18303,23,-2000,0
8,2,788,1,-2000,0
8,2,5585,7,-2000,0
8,2,15847,20,-2000,0
8,2,19796,25,-2000,0
8,3,16727,21,-2000,0
8,3,18334,23,-2000,0
8,3,24749,31,-2000,0
8,3,27118,34,-2000,0
8,4,15922,20,-2000,0
8,4,22382,28,-2000,0
8,4,23965,30,-2000,0
8,4,26332,33,-2000,0
8,5,11150,14,-2000,1
8,5,11943,15,-2000,0
8,5,19835,25,-2000,0
8,5,30298,38,-2000,0
9,1,15373,19,-2000,0
9,1,23433,29,-2000,0
9,1,29076,36,-2000,0
9,1,35577,44,-2000,0
9,2,1586,2,-2000,0
9,2,7679,9,-2000,0
9,2,22262,27,-2000,0
9,2,30974,38,-2000,0
9,3,5563,7,-2000,0
9,3,14359,18,-2000,0
9,3,31979,40,-2000,0
9,3,34388,43,-2000,0
9,4,3160,4,-2000,0
9,4,18377,23,-2000,0
9,4,25536,32,-2000,0
9,4,26327,33,-2000,0
9,5,3228,4,-2000,0
9,5,15307,19,-2000,0
9,5,30390,38,-2000,0
9,5,32773,41,-2000,0
